time_iso8601,clones_total,clones_unique,views_total,views_unique
2023-06-15 00:00:00+00:00,0,0,1,1
2023-06-16 00:00:00+00:00,3,3,11,5
2023-06-17 00:00:00+00:00,2,1,2,2
2023-06-18 00:00:00+00:00,0,0,1,1
2023-06-19 00:00:00+00:00,1,1,2,2
2023-06-20 00:00:00+00:00,0,0,9,2
2023-06-21 00:00:00+00:00,2,1,60,3
2023-06-22 00:00:00+00:00,5,2,13,3
2023-06-23 00:00:00+00:00,1,1,21,1
2023-06-25 00:00:00+00:00,0,0,4,3
2023-06-26 00:00:00+00:00,0,0,8,2
2023-06-27 00:00:00+00:00,0,0,18,4
2023-06-28 00:00:00+00:00,0,0,87,8
2023-06-29 00:00:00+00:00,8,7,85,4
2023-06-30 00:00:00+00:00,69,10,25,4
2023-07-01 00:00:00+00:00,1,1,32,1
2023-07-02 00:00:00+00:00,15,4,3,2
2023-07-03 00:00:00+00:00,22,7,108,5
2023-07-04 00:00:00+00:00,1,1,63,5
2023-07-05 00:00:00+00:00,26,7,107,5
2023-07-06 00:00:00+00:00,20,6,37,5
2023-07-07 00:00:00+00:00,3,2,74,5
2023-07-08 00:00:00+00:00,1,1,4,1
2023-07-09 00:00:00+00:00,2,2,0,0
2023-07-10 00:00:00+00:00,8,6,18,5
2023-07-11 00:00:00+00:00,2,2,10,2
2023-07-12 00:00:00+00:00,1,1,16,1
2023-07-13 00:00:00+00:00,3,2,64,2
2023-07-14 00:00:00+00:00,1,1,94,4
2023-07-15 00:00:00+00:00,1,1,3,1
2023-07-16 00:00:00+00:00,1,1,9,2
2023-07-17 00:00:00+00:00,2,2,44,5
2023-07-18 00:00:00+00:00,1,1,43,3
2023-07-19 00:00:00+00:00,1,1,171,5
2023-07-20 00:00:00+00:00,4,4,180,3
2023-07-21 00:00:00+00:00,1,1,11,3
2023-07-22 00:00:00+00:00,3,2,84,2
2023-07-23 00:00:00+00:00,1,1,8,1
2023-07-24 00:00:00+00:00,2,2,5,1
2023-07-25 00:00:00+00:00,1,1,77,5
2023-07-26 00:00:00+00:00,2,2,0,0
2023-07-27 00:00:00+00:00,2,2,12,2
2023-07-28 00:00:00+00:00,6,3,13,1
2023-07-29 00:00:00+00:00,2,2,1,1
2023-07-30 00:00:00+00:00,2,2,0,0
2023-07-31 00:00:00+00:00,2,2,69,5
2023-08-01 00:00:00+00:00,1,1,10,5
2023-08-02 00:00:00+00:00,1,1,66,6
2023-08-03 00:00:00+00:00,1,1,21,2
2023-08-04 00:00:00+00:00,2,2,10,3
2023-08-05 00:00:00+00:00,2,2,0,0
2023-08-06 00:00:00+00:00,2,2,1,1
2023-08-07 00:00:00+00:00,6,3,1,1
2023-08-08 00:00:00+00:00,2,2,12,7
2023-08-09 00:00:00+00:00,2,2,8,1
2023-08-10 00:00:00+00:00,1,1,23,2
2023-08-11 00:00:00+00:00,2,2,91,4
2023-08-12 00:00:00+00:00,4,3,31,1
2023-08-13 00:00:00+00:00,1,1,18,4
2023-08-14 00:00:00+00:00,4,4,25,2
2023-08-15 00:00:00+00:00,2,2,53,8
2023-08-16 00:00:00+00:00,4,4,30,3
2023-08-17 00:00:00+00:00,2,2,25,4
2023-08-18 00:00:00+00:00,1,1,123,3
2023-08-19 00:00:00+00:00,6,3,58,5
2023-08-20 00:00:00+00:00,2,2,0,0
2023-08-21 00:00:00+00:00,2,2,2,1
2023-08-22 00:00:00+00:00,1,1,1,1
2023-08-23 00:00:00+00:00,2,2,12,5
2023-08-24 00:00:00+00:00,5,4,224,16
2023-08-25 00:00:00+00:00,2,2,42,4
2023-08-26 00:00:00+00:00,2,2,59,3
2023-08-27 00:00:00+00:00,4,3,50,3
2023-08-28 00:00:00+00:00,5,5,5,1
2023-08-29 00:00:00+00:00,1,1,1,1
2023-08-30 00:00:00+00:00,2,2,2,2
2023-08-31 00:00:00+00:00,4,3,28,3
2023-09-01 00:00:00+00:00,3,3,1,1
2023-09-02 00:00:00+00:00,11,2,21,3
2023-09-03 00:00:00+00:00,1,1,0,0
2023-09-04 00:00:00+00:00,3,3,0,0
2023-09-05 00:00:00+00:00,2,2,2,2
2023-09-06 00:00:00+00:00,2,2,3,3
2023-09-07 00:00:00+00:00,1,1,0,0
2023-09-08 00:00:00+00:00,5,2,14,2
2023-09-09 00:00:00+00:00,6,2,32,2
2023-09-10 00:00:00+00:00,2,2,7,1
2023-09-11 00:00:00+00:00,4,3,10,1
2023-09-12 00:00:00+00:00,1,1,1,1
2023-09-13 00:00:00+00:00,5,2,9,2
2023-09-14 00:00:00+00:00,19,4,47,5
2023-09-15 00:00:00+00:00,2,2,74,3
2023-09-16 00:00:00+00:00,4,2,18,4
2023-09-17 00:00:00+00:00,12,3,12,2
2023-09-18 00:00:00+00:00,5,5,59,3
2023-09-19 00:00:00+00:00,1,1,47,9
2023-09-20 00:00:00+00:00,12,6,147,8
2023-09-21 00:00:00+00:00,23,8,68,9
2023-09-22 00:00:00+00:00,10,2,19,3
2023-09-23 00:00:00+00:00,59,4,19,3
2023-09-24 00:00:00+00:00,27,3,20,2
2023-09-25 00:00:00+00:00,3,3,23,5
2023-09-26 00:00:00+00:00,2,2,16,3
2023-09-27 00:00:00+00:00,2,2,38,4
2023-09-28 00:00:00+00:00,2,2,107,5
2023-09-29 00:00:00+00:00,2,2,9,4
2023-09-30 00:00:00+00:00,8,2,3,2
2023-10-01 00:00:00+00:00,2,2,14,2
2023-10-02 00:00:00+00:00,7,5,36,6
2023-10-03 00:00:00+00:00,12,3,6,3
2023-10-04 00:00:00+00:00,12,3,7,3
2023-10-05 00:00:00+00:00,6,2,17,2
2023-10-06 00:00:00+00:00,2,2,4,1
2023-10-07 00:00:00+00:00,54,3,52,2
2023-10-08 00:00:00+00:00,1,1,16,2
2023-10-09 00:00:00+00:00,4,3,53,3
2023-10-10 00:00:00+00:00,1,1,0,0
2023-10-11 00:00:00+00:00,1,1,16,1
2023-10-12 00:00:00+00:00,1,1,3,2
2023-10-13 00:00:00+00:00,1,1,4,2
2023-10-14 00:00:00+00:00,1,1,353,3
2023-10-15 00:00:00+00:00,12,3,36,3
2023-10-16 00:00:00+00:00,8,4,17,3
